silname,newname
LtnSmRBarDep,rstrokedep
LtnSmRevOpnERetrHookDep,eopenreversedretroflexhookdep
LtnSmRFishhookMiddleTildeDep,rfishhookmiddletildedep
LtnSmRMiddleTildeDep,rmiddletildedep
LtnSmRPalHookDep,rpalatalhookdep
LtnSmSaltilloDep,saltillodep
LtnSmSchwaRetrHookDep,schwaretroflexhookdep
LtnSmScriptGPalHookDep,gpalatalhookdep
LtnSmSMiddleTildeDep,smiddletildedep
LtnSmSPalHookDep,spalatalhookdep
LtnSmSSwashTailDep,sswashtaildep
LtnSmTMiddleTildeDep,tmiddletildedep
LtnSmTresilloDep,tresillodep
LtnSmTurnedRLngLegHookDep,rlonglegturnedhookretroflexdep
LtnSmTurnedYBeltDep,yturnedbelddep
LtnSmUpsilonStrkDep,upsilonstrokedep
LtnSmURetrHookDep,uretroflexhookdep
LtnSmVCurlDep,vcurldep
LtnSmVPalHookDep,vpalatalhookdep
LtnSmVRtHookDep,vrighthookdep
LtnSmWHookDep,whookdep
LtnSmXPalHookDep,xpalatalhookdep
LtnSmYStrkDep,ystrokedep
LtnSmZDescDep,zdescenderdep
LtnSmZMiddleTildeDep,zmiddletildedep
LtnSmZPalHookDep,zpalatalhookdep
LtnSmZSwashTailDep,zswashtaildep
LtnSupSmAeDep,aemoddep
LtnSupSmBarredODep,barredomoddep
LtnSupSmCapIDep,Ismallmoddep
LtnSupSmCapOeDep,OEsmallmoddep
LtnSupSmCapYDep,Ysmallmoddep
LtnSupSmCCurlDep,ccurlmoddep
LtnSupSmClosedRevOpnEDep,eopenreversedmoddep
LtnSupSmDotlessJStrkDep,jdotlessstrokemoddep
LtnSupSmEngDep,engmoddep
LtnSupSmEshDep,eshmoddep
LtnSupSmEzhDep,ezhmoddep
LtnSupSmFDep,fmoddep
LtnSupSmIStrkDep,istrokemoddep
LtnSupSmLRetrHookDep,lretroflexhookmoddep
LtnSupSmMDep,mmoddep
LtnSupSmNLftHookDep,nlefthookmoddep
LtnSupSmOeDep,oemoddep
LtnSupSmOStrkDep,oslashmoddep
LtnSupSmRamsHornDep,ramshornmoddep
LtnSupSmRevEDep,ereversedmoddep
LtnSupSmRevOpnEDep,eReversedopenmoddep
LtnSupSmScriptGDep,scriptgmoddep
LtnSupSmTurnedAlphaDep,alphaturnedmoddep-latin
LtnSupSmTurnedMLngLegDep,mlonglegturnedmoddep
LtnSupSmTurnedVDep,vturnedmoddep
LtnSupSmUBarDep,ubarmoddep
LtnSupSmUpsilonDep,upsilonmoddep
