glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a,temp_usv,glyphsapp_name,to_review
DigitSix.dnom.Diag,six.dnom.Diag,34061.3,34061.3,,,,,,,six.dnom.Diag,
DigitSix.numr.Diag,six.numr.Diag,34061.4,34061.4,,,,,,,six.numr.Diag,
SupSix.Diag,uni2076.Diag,34061.5,34061.5,,cv06,,,2076,,sixsuperior.Diag,
DigitSix.sups.Diag,six.sups.Diag,34061.51,34061.51,,,,,,,six.sups.Diag,
DigitSeven.Bar,seven.Bar,34071.1,34071.1,,cv07,,,0037,,seven.Bar,
SubSeven.Bar,uni2087.Bar,34071.2,34071.2,,cv07,,,2087,,seveninferior.Bar,
DigitSeven.subs.Bar,seven.subs.Bar,34071.21,34071.21,,,,,,,seven.subs.Bar,
DigitSeven.dnom.Bar,seven.dnom.Bar,34071.3,34071.3,,,,,,,seven.dnom.Bar,
DigitSeven.numr.Bar,seven.numr.Bar,34071.4,34071.4,,,,,,,seven.numr.Bar,
SupSeven.Bar,uni2077.Bar,34071.5,34071.5,,cv07,,,2077,,sevensuperior.Bar,
DigitSeven.sups.Bar,seven.sups.Bar,34071.51,34071.51,,,,,,,seven.sups.Bar,
DigitNine.Diag,nine.Diag,34091.1,34091.1,,cv06,,,0039,,nine.Diag,
SubNine.Diag,uni2089.Diag,34091.2,34091.2,,cv06,,,2089,,nineinferior.Diag,
DigitNine.subs.Diag,nine.subs.Diag,34091.21,34091.21,,,,,,,nine.subs.Diag,
DigitNine.dnom.Diag,nine.dnom.Diag,34091.3,34091.3,,,,,,,nine.dnom.Diag,
DigitNine.numr.Diag,nine.numr.Diag,34091.4,34091.4,,,,,,,nine.numr.Diag,
SupNine.Diag,uni2079.Diag,34091.5,34091.5,,cv06,,,2079,,ninesuperior.Diag,
DigitNine.sups.Diag,nine.sups.Diag,34091.51,34091.51,,,,,,,nine.sups.Diag,
VulgFracZeroThirds.Slash,uni2189.Slash,34103.11,34103.11,,cv10,,,2189,,zerothird.Slash,
VulgFracOneTenth.NoBase,uni2152.NoBase,34110.21,34110.21,,cv01,,,2152,,onetenth.NoBase,
VulgFracOneTenth.Slash,uni2152.Slash,34110.22,34110.22,,cv10,,,2152,,onetenth.Slash,
VulgFracOneTenth.NoBase.Slash,uni2152.NoBase.Slash,34110.23,34110.23,,,,,2152,,onetenth.NoBase.Slash,
VulgFracOneHalf.NoBase,onehalf.NoBase,34120.11,34120.11,,cv01,,,00BD,,onehalf.NoBase,
VulgFracOneQuarter.NoBase,onequarter.NoBase,34130.11,34130.11,,cv01,,,00BC,,onequarter.NoBase,
VulgFracOneThird.NoBase,onethird.NoBase,34140.11,34140.11,,cv01,,,2153,,onethird.NoBase,
VulgFracOneQuarter.NoBase.Open,onequarter.NoBase.Open,34140.12,34140.12,,,,,00BC,,onequarter.NoBase.Open,
VulgFracOneQuarter.Open,onequarter.Open,34140.13,34140.13,,cv04,,,00BC,,onequarter.Open,
VulgFracOneFifth.NoBase,uni2155.NoBase,34150.11,34150.11,,cv01,,,2155,,onefifth.NoBase,
VulgFracOneSixth.Diag,uni2159.Diag,34160.11,34160.11,,cv06,,,2159,,onesixth.Diag,
VulgFracOneSixth.NoBase,uni2159.NoBase,34160.12,34160.12,,cv01,,,2159,,onesixth.NoBase,
VulgFracOneSixth.NoBase.Diag,uni2159.NoBase.Diag,34160.13,34160.13,,,,,2159,,onesixth.NoBase.Diag,
VulgFracOneSeventh.Bar,uni2150.Bar,34170.11,34170.11,,cv07,,,2150,,oneseventh.Bar,
VulgFracOneSeventh.NoBase,uni2150.NoBase,34170.12,34170.12,,cv01,,,2150,,oneseventh.NoBase,
VulgFracOneSeventh.NoBase.Bar,uni2150.NoBase.Bar,34170.13,34170.13,,,,,2150,,oneseventh.NoBase.Bar,
VulgFracOneEighth.NoBase,oneeighth.NoBase,34180.11,34180.11,,cv01,,,215B,,oneeighth.NoBase,
VulgFracOneNinth.Diag,uni2151.Diag,34190.11,34190.11,,cv06,,,2151,,oneninth.Diag,
VulgFracOneNinth.NoBase,uni2151.NoBase,34190.12,34190.12,,cv01,,,2151,,oneninth.NoBase,
VulgFracOneNinth.NoBase.Diag,uni2151.NoBase.Diag,34190.13,34190.13,,,,,2151,,oneninth.NoBase.Diag,
VulgFracThreeQuarters.Open,threequarters.Open,34340.11,34340.11,,cv04,,,00BE,,threequarters.Open,
